iteration,"('Scenario1', 'FacilityOpen[1]')","('Scenario1', 'FacilityOpen[2]')","('Scenario1', 'FacilityOpen[3]')","('Scenario1', 'FacilityOpen[4]')","('Scenario1', 'FacilityOpen[5]')","('Scenario1', 'FacilityOpen[6]')","('Scenario1', 'FacilityOpen[7]')","('Scenario1', 'FacilityOpen[8]')","('Scenario1', 'FacilityOpen[9]')","('Scenario1', 'FacilityOpen[10]')","('Scenario1', 'FacilityOpen[11]')","('Scenario1', 'FacilityOpen[12]')","('Scenario1', 'FacilityOpen[13]')","('Scenario1', 'FacilityOpen[14]')","('Scenario1', 'FacilityOpen[15]')","('Scenario2', 'FacilityOpen[1]')","('Scenario2', 'FacilityOpen[2]')","('Scenario2', 'FacilityOpen[3]')","('Scenario2', 'FacilityOpen[4]')","('Scenario2', 'FacilityOpen[5]')","('Scenario2', 'FacilityOpen[6]')","('Scenario2', 'FacilityOpen[7]')","('Scenario2', 'FacilityOpen[8]')","('Scenario2', 'FacilityOpen[9]')","('Scenario2', 'FacilityOpen[10]')","('Scenario2', 'FacilityOpen[11]')","('Scenario2', 'FacilityOpen[12]')","('Scenario2', 'FacilityOpen[13]')","('Scenario2', 'FacilityOpen[14]')","('Scenario2', 'FacilityOpen[15]')","('Scenario3', 'FacilityOpen[1]')","('Scenario3', 'FacilityOpen[2]')","('Scenario3', 'FacilityOpen[3]')","('Scenario3', 'FacilityOpen[4]')","('Scenario3', 'FacilityOpen[5]')","('Scenario3', 'FacilityOpen[6]')","('Scenario3', 'FacilityOpen[7]')","('Scenario3', 'FacilityOpen[8]')","('Scenario3', 'FacilityOpen[9]')","('Scenario3', 'FacilityOpen[10]')","('Scenario3', 'FacilityOpen[11]')","('Scenario3', 'FacilityOpen[12]')","('Scenario3', 'FacilityOpen[13]')","('Scenario3', 'FacilityOpen[14]')","('Scenario3', 'FacilityOpen[15]')","('Scenario4', 'FacilityOpen[1]')","('Scenario4', 'FacilityOpen[2]')","('Scenario4', 'FacilityOpen[3]')","('Scenario4', 'FacilityOpen[4]')","('Scenario4', 'FacilityOpen[5]')","('Scenario4', 'FacilityOpen[6]')","('Scenario4', 'FacilityOpen[7]')","('Scenario4', 'FacilityOpen[8]')","('Scenario4', 'FacilityOpen[9]')","('Scenario4', 'FacilityOpen[10]')","('Scenario4', 'FacilityOpen[11]')","('Scenario4', 'FacilityOpen[12]')","('Scenario4', 'FacilityOpen[13]')","('Scenario4', 'FacilityOpen[14]')","('Scenario4', 'FacilityOpen[15]')","('Scenario5', 'FacilityOpen[1]')","('Scenario5', 'FacilityOpen[2]')","('Scenario5', 'FacilityOpen[3]')","('Scenario5', 'FacilityOpen[4]')","('Scenario5', 'FacilityOpen[5]')","('Scenario5', 'FacilityOpen[6]')","('Scenario5', 'FacilityOpen[7]')","('Scenario5', 'FacilityOpen[8]')","('Scenario5', 'FacilityOpen[9]')","('Scenario5', 'FacilityOpen[10]')","('Scenario5', 'FacilityOpen[11]')","('Scenario5', 'FacilityOpen[12]')","('Scenario5', 'FacilityOpen[13]')","('Scenario5', 'FacilityOpen[14]')","('Scenario5', 'FacilityOpen[15]')","('Scenario6', 'FacilityOpen[1]')","('Scenario6', 'FacilityOpen[2]')","('Scenario6', 'FacilityOpen[3]')","('Scenario6', 'FacilityOpen[4]')","('Scenario6', 'FacilityOpen[5]')","('Scenario6', 'FacilityOpen[6]')","('Scenario6', 'FacilityOpen[7]')","('Scenario6', 'FacilityOpen[8]')","('Scenario6', 'FacilityOpen[9]')","('Scenario6', 'FacilityOpen[10]')","('Scenario6', 'FacilityOpen[11]')","('Scenario6', 'FacilityOpen[12]')","('Scenario6', 'FacilityOpen[13]')","('Scenario6', 'FacilityOpen[14]')","('Scenario6', 'FacilityOpen[15]')","('Scenario7', 'FacilityOpen[1]')","('Scenario7', 'FacilityOpen[2]')","('Scenario7', 'FacilityOpen[3]')","('Scenario7', 'FacilityOpen[4]')","('Scenario7', 'FacilityOpen[5]')","('Scenario7', 'FacilityOpen[6]')","('Scenario7', 'FacilityOpen[7]')","('Scenario7', 'FacilityOpen[8]')","('Scenario7', 'FacilityOpen[9]')","('Scenario7', 'FacilityOpen[10]')","('Scenario7', 'FacilityOpen[11]')","('Scenario7', 'FacilityOpen[12]')","('Scenario7', 'FacilityOpen[13]')","('Scenario7', 'FacilityOpen[14]')","('Scenario7', 'FacilityOpen[15]')","('Scenario8', 'FacilityOpen[1]')","('Scenario8', 'FacilityOpen[2]')","('Scenario8', 'FacilityOpen[3]')","('Scenario8', 'FacilityOpen[4]')","('Scenario8', 'FacilityOpen[5]')","('Scenario8', 'FacilityOpen[6]')","('Scenario8', 'FacilityOpen[7]')","('Scenario8', 'FacilityOpen[8]')","('Scenario8', 'FacilityOpen[9]')","('Scenario8', 'FacilityOpen[10]')","('Scenario8', 'FacilityOpen[11]')","('Scenario8', 'FacilityOpen[12]')","('Scenario8', 'FacilityOpen[13]')","('Scenario8', 'FacilityOpen[14]')","('Scenario8', 'FacilityOpen[15]')","('Scenario9', 'FacilityOpen[1]')","('Scenario9', 'FacilityOpen[2]')","('Scenario9', 'FacilityOpen[3]')","('Scenario9', 'FacilityOpen[4]')","('Scenario9', 'FacilityOpen[5]')","('Scenario9', 'FacilityOpen[6]')","('Scenario9', 'FacilityOpen[7]')","('Scenario9', 'FacilityOpen[8]')","('Scenario9', 'FacilityOpen[9]')","('Scenario9', 'FacilityOpen[10]')","('Scenario9', 'FacilityOpen[11]')","('Scenario9', 'FacilityOpen[12]')","('Scenario9', 'FacilityOpen[13]')","('Scenario9', 'FacilityOpen[14]')","('Scenario9', 'FacilityOpen[15]')","('Scenario10', 'FacilityOpen[1]')","('Scenario10', 'FacilityOpen[2]')","('Scenario10', 'FacilityOpen[3]')","('Scenario10', 'FacilityOpen[4]')","('Scenario10', 'FacilityOpen[5]')","('Scenario10', 'FacilityOpen[6]')","('Scenario10', 'FacilityOpen[7]')","('Scenario10', 'FacilityOpen[8]')","('Scenario10', 'FacilityOpen[9]')","('Scenario10', 'FacilityOpen[10]')","('Scenario10', 'FacilityOpen[11]')","('Scenario10', 'FacilityOpen[12]')","('Scenario10', 'FacilityOpen[13]')","('Scenario10', 'FacilityOpen[14]')","('Scenario10', 'FacilityOpen[15]')"
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,3.0000000000000004,0.0,0.0,2.000000000000001,0.0,0.0,0.0,1.0000000000000009,0.0,0.0,1.0000000000000009,0.0,-2.0,-1.0,1.0000000000000009,3.0000000000000004,0.0,0.0,-7.999999999999999,0.0,0.0,0.0,1.0000000000000009,0.0,0.0,1.0000000000000009,0.0,-2.0,-1.0,1.0000000000000009,-7.0,0.0,0.0,2.000000000000001,0.0,0.0,0.0,1.0000000000000009,0.0,0.0,1.0000000000000009,0.0,8.0,-1.0,1.0000000000000009,-7.0,0.0,0.0,2.000000000000001,0.0,0.0,0.0,1.0000000000000009,0.0,0.0,1.0000000000000009,0.0,-2.0,-1.0,1.0000000000000009,3.0000000000000004,0.0,0.0,-7.999999999999999,0.0,0.0,0.0,1.0000000000000009,0.0,0.0,-9.0,0.0,8.0,-1.0,1.0000000000000009,3.0000000000000004,0.0,0.0,2.000000000000001,0.0,0.0,0.0,1.0000000000000009,0.0,0.0,1.0000000000000009,0.0,-2.0,-1.0,1.0000000000000009,3.0000000000000004,0.0,0.0,2.000000000000001,0.0,0.0,0.0,1.0000000000000009,0.0,0.0,1.0000000000000009,0.0,-2.0,-1.0,-9.0,3.0000000000000004,0.0,0.0,2.000000000000001,0.0,0.0,0.0,1.0000000000000009,0.0,0.0,1.0000000000000009,0.0,-2.0,-1.0,1.0000000000000009,3.0000000000000004,0.0,0.0,2.000000000000001,0.0,0.0,0.0,-9.0,0.0,0.0,1.0000000000000009,0.0,-2.0,-1.0,1.0000000000000009,-7.0,0.0,0.0,2.000000000000001,0.0,0.0,0.0,1.0000000000000009,0.0,0.0,1.0000000000000009,0.0,-2.0,9.0,1.0000000000000009
3,5.000000000000002,0.0,0.0,4.000000000000002,0.0,0.0,0.0,1.000000000000002,0.0,0.0,2.0000000000000018,0.0,-2.0,-2.0,1.000000000000002,-4.999999999999998,0.0,0.0,-5.999999999999998,0.0,0.0,0.0,1.000000000000002,0.0,0.0,2.0000000000000018,0.0,-2.0,8.0,1.000000000000002,-4.999999999999999,0.0,0.0,4.000000000000002,0.0,0.0,0.0,1.000000000000002,0.0,0.0,2.0000000000000018,0.0,8.0,-2.0,1.000000000000002,-4.999999999999999,0.0,0.0,4.000000000000002,0.0,0.0,0.0,1.000000000000002,0.0,0.0,-7.999999999999999,0.0,-2.0,-2.0,1.000000000000002,-4.999999999999998,0.0,0.0,-5.999999999999998,0.0,0.0,0.0,1.000000000000002,0.0,0.0,-7.999999999999999,0.0,8.0,-2.0,1.000000000000002,5.000000000000002,0.0,0.0,4.000000000000002,0.0,0.0,0.0,1.000000000000002,0.0,0.0,2.0000000000000018,0.0,-2.0,-2.0,1.000000000000002,5.000000000000002,0.0,0.0,-5.999999999999998,0.0,0.0,0.0,1.000000000000002,0.0,0.0,2.0000000000000018,0.0,-2.0,-2.0,-8.999999999999998,5.000000000000002,0.0,0.0,4.000000000000002,0.0,0.0,0.0,1.000000000000002,0.0,0.0,2.0000000000000018,0.0,-2.0,-2.0,1.000000000000002,5.000000000000002,0.0,0.0,-5.999999999999998,0.0,0.0,0.0,-8.999999999999998,0.0,0.0,2.0000000000000018,0.0,-2.0,-2.0,1.000000000000002,-4.999999999999999,0.0,0.0,4.000000000000002,0.0,0.0,0.0,1.000000000000002,0.0,0.0,2.0000000000000018,0.0,-2.0,8.0,1.000000000000002
4,8.000000000000004,0.0,0.0,4.0000000000000036,0.0,0.0,0.0,2.0000000000000036,0.0,0.0,3.0000000000000036,0.0,-2.0,-2.0,6.0000000000000036,-1.9999999999999964,0.0,0.0,-5.9999999999999964,0.0,0.0,0.0,2.0000000000000036,0.0,0.0,-6.999999999999997,0.0,-2.0,8.0,-3.999999999999997,-1.9999999999999973,0.0,0.0,4.0000000000000036,0.0,0.0,0.0,2.0000000000000036,0.0,0.0,3.0000000000000036,0.0,8.0,-2.0,6.0000000000000036,-11.999999999999998,0.0,0.0,4.0000000000000036,0.0,0.0,0.0,2.0000000000000036,0.0,0.0,-6.999999999999997,0.0,-2.0,-2.0,-3.999999999999997,-11.999999999999996,0.0,0.0,-5.9999999999999964,0.0,0.0,0.0,2.0000000000000036,0.0,0.0,-6.999999999999997,0.0,8.0,-2.0,-3.9999999999999973,8.000000000000004,0.0,0.0,4.0000000000000036,0.0,0.0,0.0,2.0000000000000036,0.0,0.0,3.0000000000000036,0.0,-2.0,-2.0,6.0000000000000036,8.000000000000004,0.0,0.0,-5.9999999999999964,0.0,0.0,0.0,-7.999999999999997,0.0,0.0,3.0000000000000036,0.0,-2.0,-2.0,-13.999999999999996,8.000000000000004,0.0,0.0,4.0000000000000036,0.0,0.0,0.0,2.0000000000000036,0.0,0.0,3.0000000000000036,0.0,-2.0,-2.0,6.0000000000000036,-1.9999999999999964,0.0,0.0,-5.9999999999999964,0.0,0.0,0.0,-7.9999999999999964,0.0,0.0,3.0000000000000036,0.0,-2.0,-2.0,-3.9999999999999973,-1.9999999999999973,0.0,0.0,4.0000000000000036,0.0,0.0,0.0,2.0000000000000036,0.0,0.0,3.0000000000000036,0.0,-2.0,8.0,6.0000000000000036
5,8.000000000000005,0.0,0.0,4.000000000000004,0.0,0.0,0.0,3.0000000000000044,0.0,0.0,5.000000000000004,0.0,-2.0,-2.0,8.000000000000004,-1.9999999999999953,0.0,0.0,-5.999999999999996,0.0,0.0,0.0,3.0000000000000044,0.0,0.0,-4.9999999999999964,0.0,-2.0,8.0,-11.999999999999996,-1.9999999999999962,0.0,0.0,4.000000000000004,0.0,0.0,0.0,3.0000000000000044,0.0,0.0,5.000000000000004,0.0,8.0,-2.0,8.000000000000004,-11.999999999999996,0.0,0.0,4.000000000000004,0.0,0.0,0.0,3.0000000000000044,0.0,0.0,-4.9999999999999964,0.0,-2.0,-2.0,-11.999999999999996,-11.999999999999995,0.0,0.0,-5.999999999999996,0.0,0.0,0.0,3.0000000000000044,0.0,0.0,-14.999999999999996,0.0,8.0,-2.0,-1.9999999999999964,8.000000000000005,0.0,0.0,4.000000000000004,0.0,0.0,0.0,3.0000000000000044,0.0,0.0,5.000000000000004,0.0,-2.0,-2.0,8.000000000000004,8.000000000000005,0.0,0.0,-5.999999999999996,0.0,0.0,0.0,-6.9999999999999964,0.0,0.0,-4.999999999999996,0.0,-2.0,-2.0,-11.999999999999996,8.000000000000005,0.0,0.0,4.000000000000004,0.0,0.0,0.0,3.0000000000000044,0.0,0.0,5.000000000000004,0.0,-2.0,-2.0,8.000000000000004,-1.9999999999999953,0.0,0.0,-5.999999999999996,0.0,0.0,0.0,-16.999999999999996,0.0,0.0,5.000000000000004,0.0,-2.0,-2.0,-1.9999999999999964,-1.9999999999999962,0.0,0.0,4.000000000000004,0.0,0.0,0.0,3.0000000000000044,0.0,0.0,5.000000000000004,0.0,-2.0,8.0,8.000000000000004
6,10.000000000000007,0.0,0.0,5.000000000000006,0.0,0.0,0.0,6.000000000000006,0.0,0.0,7.000000000000006,0.0,-2.0,-2.0,10.000000000000004,-9.999999999999995,0.0,0.0,-4.999999999999994,0.0,0.0,0.0,-3.9999999999999947,0.0,0.0,-2.9999999999999947,0.0,-2.0,8.0,-9.999999999999996,5.551115123125783e-15,0.0,0.0,5.000000000000006,0.0,0.0,0.0,6.000000000000006,0.0,0.0,7.000000000000006,0.0,8.0,-2.0,10.000000000000004,-9.999999999999996,0.0,0.0,5.000000000000006,0.0,0.0,0.0,-3.999999999999994,0.0,0.0,-12.999999999999995,0.0,-2.0,-2.0,-9.999999999999996,-9.999999999999993,0.0,0.0,-4.999999999999994,0.0,0.0,0.0,-3.999999999999994,0.0,0.0,-12.999999999999995,0.0,8.0,-2.0,-9.999999999999996,10.000000000000007,0.0,0.0,5.000000000000006,0.0,0.0,0.0,6.000000000000006,0.0,0.0,7.000000000000006,0.0,-2.0,-2.0,10.000000000000004,6.217248937900877e-15,0.0,0.0,-14.999999999999995,0.0,0.0,0.0,-3.9999999999999947,0.0,0.0,-2.999999999999994,0.0,-2.0,-2.0,-9.999999999999996,10.000000000000007,0.0,0.0,5.000000000000006,0.0,0.0,0.0,6.000000000000006,0.0,0.0,7.000000000000006,0.0,-2.0,-2.0,10.000000000000004,6.439293542825908e-15,0.0,0.0,-4.999999999999994,0.0,0.0,0.0,-13.999999999999996,0.0,0.0,-2.999999999999994,0.0,-2.0,-2.0,-9.999999999999996,5.551115123125783e-15,0.0,0.0,5.000000000000006,0.0,0.0,0.0,6.000000000000006,0.0,0.0,7.000000000000006,0.0,-2.0,8.0,10.000000000000004
7,13.000000000000007,0.0,0.0,9.000000000000007,0.0,0.0,0.0,7.000000000000008,0.0,0.0,7.000000000000008,0.0,-2.0,-2.0,11.000000000000007,-6.999999999999993,0.0,0.0,-10.999999999999993,0.0,0.0,0.0,-2.999999999999993,0.0,0.0,-2.999999999999993,0.0,-2.0,8.0,-8.999999999999993,3.000000000000007,0.0,0.0,9.000000000000007,0.0,0.0,0.0,7.000000000000008,0.0,0.0,7.000000000000008,0.0,8.0,-2.0,11.000000000000007,-16.999999999999996,0.0,0.0,-0.999999999999992,0.0,0.0,0.0,-2.999999999999992,0.0,0.0,-12.999999999999991,0.0,-2.0,-2.0,-8.999999999999993,-16.999999999999993,0.0,0.0,-10.999999999999993,0.0,0.0,0.0,-2.999999999999992,0.0,0.0,-12.999999999999991,0.0,8.0,-2.0,-8.999999999999993,13.000000000000007,0.0,0.0,9.000000000000007,0.0,0.0,0.0,7.000000000000008,0.0,0.0,7.000000000000008,0.0,-2.0,-2.0,11.000000000000007,3.000000000000008,0.0,0.0,-10.999999999999993,0.0,0.0,0.0,-12.999999999999993,0.0,0.0,-2.999999999999992,0.0,-2.0,-2.0,-18.999999999999993,13.000000000000007,0.0,0.0,9.000000000000007,0.0,0.0,0.0,7.000000000000008,0.0,0.0,7.000000000000008,0.0,-2.0,-2.0,11.000000000000007,-6.999999999999992,0.0,0.0,-10.999999999999993,0.0,0.0,0.0,-12.999999999999995,0.0,0.0,-2.999999999999992,0.0,-2.0,-2.0,-8.999999999999993,3.000000000000007,0.0,0.0,9.000000000000007,0.0,0.0,0.0,7.000000000000008,0.0,0.0,7.000000000000008,0.0,-2.0,8.0,11.000000000000007
8,14.000000000000007,0.0,0.0,9.000000000000009,0.0,0.0,0.0,8.000000000000009,0.0,0.0,8.000000000000009,0.0,-2.0,-2.0,12.000000000000007,-5.999999999999992,0.0,0.0,-10.999999999999991,0.0,0.0,0.0,-1.999999999999992,0.0,0.0,-1.999999999999992,0.0,-2.0,8.0,-7.999999999999992,4.000000000000008,0.0,0.0,9.000000000000009,0.0,0.0,0.0,8.000000000000009,0.0,0.0,8.000000000000009,0.0,8.0,-2.0,12.000000000000007,-15.999999999999996,0.0,0.0,-0.9999999999999909,0.0,0.0,0.0,-1.9999999999999911,0.0,0.0,-11.99999999999999,0.0,-2.0,-2.0,-17.999999999999993,-15.999999999999993,0.0,0.0,-10.999999999999991,0.0,0.0,0.0,-1.9999999999999911,0.0,0.0,-21.999999999999993,0.0,8.0,-2.0,-7.999999999999992,14.000000000000007,0.0,0.0,9.000000000000009,0.0,0.0,0.0,8.000000000000009,0.0,0.0,8.000000000000009,0.0,-2.0,-2.0,12.000000000000007,-5.999999999999992,0.0,0.0,-10.999999999999991,0.0,0.0,0.0,-11.999999999999993,0.0,0.0,-1.9999999999999911,0.0,-2.0,-2.0,-17.999999999999993,14.000000000000007,0.0,0.0,9.000000000000009,0.0,0.0,0.0,8.000000000000009,0.0,0.0,8.000000000000009,0.0,-2.0,-2.0,12.000000000000007,-5.999999999999991,0.0,0.0,-10.999999999999991,0.0,0.0,0.0,-21.999999999999993,0.0,0.0,-1.9999999999999911,0.0,-2.0,-2.0,-7.999999999999992,4.000000000000008,0.0,0.0,9.000000000000009,0.0,0.0,0.0,8.000000000000009,0.0,0.0,8.000000000000009,0.0,-2.0,8.0,12.000000000000007
9,15.00000000000001,0.0,0.0,10.00000000000001,0.0,0.0,0.0,12.00000000000001,0.0,0.0,5.000000000000009,0.0,6.0,-2.0,12.00000000000001,-4.99999999999999,0.0,0.0,-9.99999999999999,0.0,0.0,0.0,-7.99999999999999,0.0,0.0,-4.999999999999993,0.0,-4.0,8.0,-7.99999999999999,5.00000000000001,0.0,0.0,10.00000000000001,0.0,0.0,0.0,12.00000000000001,0.0,0.0,15.000000000000009,0.0,6.0,-2.0,12.00000000000001,-14.999999999999993,0.0,0.0,1.1102230246251565e-14,0.0,0.0,0.0,-7.9999999999999885,0.0,0.0,-14.99999999999999,0.0,-4.0,-2.0,-17.999999999999993,-14.99999999999999,0.0,0.0,-19.99999999999999,0.0,0.0,0.0,-7.9999999999999885,0.0,0.0,-14.999999999999993,0.0,6.0,-2.0,-7.99999999999999,15.00000000000001,0.0,0.0,10.00000000000001,0.0,0.0,0.0,12.00000000000001,0.0,0.0,5.000000000000009,0.0,-4.0,-2.0,12.00000000000001,-4.99999999999999,0.0,0.0,-9.99999999999999,0.0,0.0,0.0,-17.999999999999993,0.0,0.0,-4.999999999999991,0.0,-4.0,-2.0,-17.999999999999993,15.00000000000001,0.0,0.0,10.00000000000001,0.0,0.0,0.0,12.00000000000001,0.0,0.0,15.000000000000009,0.0,-4.0,-2.0,12.00000000000001,-14.99999999999999,0.0,0.0,-9.99999999999999,0.0,0.0,0.0,-17.999999999999993,0.0,0.0,-4.999999999999991,0.0,-4.0,-2.0,-7.99999999999999,5.00000000000001,0.0,0.0,10.00000000000001,0.0,0.0,0.0,12.00000000000001,0.0,0.0,5.000000000000009,0.0,6.0,8.0,12.00000000000001
10,15.000000000000014,0.0,0.0,12.00000000000001,0.0,0.0,0.0,12.000000000000014,0.0,0.0,10.000000000000009,0.0,2.0,6.0,12.000000000000014,-4.9999999999999885,0.0,0.0,-7.9999999999999885,0.0,0.0,0.0,-7.9999999999999885,0.0,0.0,-9.999999999999993,0.0,-8.0,6.0,-7.9999999999999885,5.0000000000000115,0.0,0.0,12.00000000000001,0.0,0.0,0.0,12.000000000000014,0.0,0.0,20.000000000000007,0.0,12.0,-4.0,12.000000000000014,-14.99999999999999,0.0,0.0,2.000000000000013,0.0,0.0,0.0,-7.999999999999987,0.0,0.0,-19.99999999999999,0.0,-8.0,-4.0,-17.999999999999993,-14.999999999999986,0.0,0.0,-17.99999999999999,0.0,0.0,0.0,-7.999999999999987,0.0,0.0,-19.999999999999993,0.0,2.0,-4.0,-7.9999999999999885,15.000000000000014,0.0,0.0,12.00000000000001,0.0,0.0,0.0,12.000000000000014,0.0,0.0,10.000000000000009,0.0,2.0,-4.0,12.000000000000014,-4.9999999999999885,0.0,0.0,-17.99999999999999,0.0,0.0,0.0,-17.999999999999993,0.0,0.0,8.881784197001252e-15,0.0,-8.0,-4.0,-17.999999999999993,15.000000000000014,0.0,0.0,2.0000000000000115,0.0,0.0,0.0,12.000000000000014,0.0,0.0,10.000000000000009,0.0,2.0,6.0,12.000000000000014,-14.999999999999986,0.0,0.0,-7.9999999999999885,0.0,0.0,0.0,-17.999999999999993,0.0,0.0,-9.999999999999991,0.0,-8.0,-4.0,-7.9999999999999885,5.0000000000000115,0.0,0.0,12.00000000000001,0.0,0.0,0.0,12.000000000000014,0.0,0.0,10.000000000000009,0.0,12.0,6.0,12.000000000000014
